group,process,phase,family,backend,dtype,size,elements,bytes,transfer_mode,iterations,elapsed_ms,per_iteration_ms,uploads,downloads,compute_passes
types,7,download,transfer,gpu,int64,0,65536,524288,equal_cardinality,5,2.815,0.563,0,5,0
types,7,construction,cpu_memory,cpu,uint64,0,65536,524288,equal_cardinality,5,0.026,0.0052,0,0,0
types,7,extraction,cpu_memory,cpu,uint64,0,65536,524288,equal_cardinality,5,4.897,0.9794,0,0,0
types,7,upload,transfer,gpu,uint64,0,65536,524288,equal_cardinality,5,5.901,1.1802,5,0,0
types,7,download,transfer,gpu,uint64,0,65536,524288,equal_cardinality,5,2.587,0.51739997,0,5,0
types,7,upload,transfer,gpu,float32,0,65536,262144,equal_bytes,5,6.286,1.2572,5,0,0
types,7,download,transfer,gpu,float32,0,65536,262144,equal_bytes,5,2.3409998,0.46819997,0,5,0
types,7,upload,transfer,gpu,int8,0,262144,262144,equal_bytes,5,12.330999,2.4661999,5,0,0
types,7,download,transfer,gpu,int8,0,262144,262144,equal_bytes,5,7.362,1.4724,0,5,0
types,7,upload,transfer,gpu,uint8,0,262144,262144,equal_bytes,5,11.561,2.3122,5,0,0
types,7,download,transfer,gpu,uint8,0,262144,262144,equal_bytes,5,7.496,1.4992,0,5,0
types,7,upload,transfer,gpu,int16,0,131072,262144,equal_bytes,5,7.0360003,1.4072001,5,0,0
types,7,download,transfer,gpu,int16,0,131072,262144,equal_bytes,5,4.171,0.8342,0,5,0
types,7,upload,transfer,gpu,uint16,0,131072,262144,equal_bytes,5,7.241,1.4482,5,0,0
types,7,download,transfer,gpu,uint16,0,131072,262144,equal_bytes,5,4.08,0.816,0,5,0
types,7,upload,transfer,gpu,int32,0,65536,262144,equal_bytes,5,7.0230002,1.4046,5,0,0
types,7,download,transfer,gpu,int32,0,65536,262144,equal_bytes,5,2.533,0.5066,0,5,0
types,7,upload,transfer,gpu,uint32,0,65536,262144,equal_bytes,5,7.6159997,1.5231999,5,0,0
types,7,download,transfer,gpu,uint32,0,65536,262144,equal_bytes,5,2.43,0.486,0,5,0
types,7,upload,transfer,gpu,int64,0,32768,262144,equal_bytes,5,5.51,1.102,5,0,0
types,7,download,transfer,gpu,int64,0,32768,262144,equal_bytes,5,1.643,0.3286,0,5,0
types,7,upload,transfer,gpu,uint64,0,32768,262144,equal_bytes,5,4.975,0.995,5,0,0
types,7,download,transfer,gpu,uint64,0,32768,262144,equal_bytes,5,1.683,0.3366,0,5,0
elementwise,1,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.82,0.082,0,0,0
elementwise,1,cold,elementwise,gpu,float32,1024,1024,4096,none,1,2.168,2.168,0,0,1
elementwise,1,hot,elementwise,gpu,float32,1024,1024,4096,none,10,4.951,0.49510002,0,0,10
elementwise,1,hot,elementwise,cpu,float32,65536,65536,262144,none,10,41.25,4.125,0,0,0
elementwise,1,cold,elementwise,gpu,float32,65536,65536,262144,none,1,1.099,1.099,0,0,1
elementwise,1,hot,elementwise,gpu,float32,65536,65536,262144,none,10,7.8370004,0.78370005,0,0,10
elementwise,1,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,196.071,65.357,0,0,0
elementwise,1,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.2939999,1.2939999,0,0,1
elementwise,1,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,5.0499997,1.6833333,0,0,3
elementwise,2,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.79800004,0.0798,0,0,0
elementwise,2,cold,elementwise,gpu,float32,1024,1024,4096,none,1,1.108,1.108,0,0,1
elementwise,2,hot,elementwise,gpu,float32,1024,1024,4096,none,10,6.347,0.6347,0,0,10
elementwise,2,hot,elementwise,cpu,float32,65536,65536,262144,none,10,41.5,4.15,0,0,0
elementwise,2,cold,elementwise,gpu,float32,65536,65536,262144,none,1,0.93799996,0.93799996,0,0,1
elementwise,2,hot,elementwise,gpu,float32,65536,65536,262144,none,10,6.397,0.6397,0,0,10
elementwise,2,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,196.39499,65.465,0,0,0
elementwise,2,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.169,1.169,0,0,1
elementwise,2,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,2.625,0.875,0,0,3
elementwise,3,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.79999995,0.08,0,0,0
elementwise,3,cold,elementwise,gpu,float32,1024,1024,4096,none,1,0.861,0.861,0,0,1
elementwise,3,hot,elementwise,gpu,float32,1024,1024,4096,none,10,6.863,0.6863,0,0,10
elementwise,3,hot,elementwise,cpu,float32,65536,65536,262144,none,10,40.51,4.0509996,0,0,0
