  state[138]: position=(0.65000004, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[139]: position=(0.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[140]: position=(0.85, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[141]: position=(0.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[142]: position=(1.0500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[143]: position=(1.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[144]: position=(1.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[145]: position=(1.35, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[146]: position=(1.45, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[147]: position=(1.5500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[148]: position=(1.65, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[149]: position=(1.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[150]: position=(1.85, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[151]: position=(1.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[152]: position=(2.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[153]: position=(2.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[154]: position=(2.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[155]: position=(2.3500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[156]: position=(2.45, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[157]: position=(2.55, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[158]: position=(2.65, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[159]: position=(2.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[160]: position=(2.8500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[161]: position=(2.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[162]: position=(3.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[163]: position=(3.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[164]: position=(3.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[165]: position=(3.3500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[166]: position=(3.45, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[167]: position=(3.55, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[168]: position=(3.65, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[169]: position=(3.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[170]: position=(3.8500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[171]: position=(3.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[172]: position=(4.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[173]: position=(4.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[174]: position=(4.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[175]: position=(4.35, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[176]: position=(-4.35, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[177]: position=(-4.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[178]: position=(-4.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[179]: position=(-4.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[180]: position=(-3.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[181]: position=(-3.8500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[182]: position=(-3.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[183]: position=(-3.65, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[184]: position=(-3.55, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[185]: position=(-3.45, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[186]: position=(-3.3500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[187]: position=(-3.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[188]: position=(-3.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[189]: position=(-3.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[190]: position=(-2.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[191]: position=(-2.8500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[192]: position=(-2.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[193]: position=(-2.65, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[194]: position=(-2.55, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[195]: position=(-2.45, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[196]: position=(-2.3500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[197]: position=(-2.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[198]: position=(-2.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[199]: position=(-2.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[200]: position=(-1.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[201]: position=(-1.85, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[202]: position=(-1.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[203]: position=(-1.65, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[204]: position=(-1.5500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[205]: position=(-1.45, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[206]: position=(-1.35, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[207]: position=(-1.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[208]: position=(-1.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[209]: position=(-1.0500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[210]: position=(-0.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[211]: position=(-0.85, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[212]: position=(-0.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[213]: position=(-0.65000004, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[214]: position=(-0.55, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
