family,process,phase,backend,batch,iterations,elapsed_ms,per_iteration_ms,observation,uploads,downloads,compute_passes
rnn,4,step_adam,cpu,16,3,26.097,8.699,none,0,0,0
rnn,4,loss_read,cpu,16,1,0.014,0.014,every_step,0,0,0
rnn,4,step_resident,cpu,16,3,134.295,44.765,spaced,0,0,0
rnn,4,forward_cold,gpu,16,1,37.482998,37.482998,none,0,0,43
rnn,4,forward_hot,gpu,16,3,114.326004,38.10867,none,0,0,129
rnn,4,backward_cold,gpu,16,1,106.207,106.207,none,0,0,111
rnn,4,backward_hot,gpu,16,3,304.6,101.53333,none,0,0,333
rnn,4,step_sgd,gpu,16,3,46.646,15.548667,none,0,0,50
rnn,4,step_adam,gpu,16,3,229.65399,76.55133,none,0,0,240
rnn,4,loss_read,gpu,16,1,0.347,0.347,every_step,0,1,0
rnn,4,step_resident,gpu,16,3,713.86,237.95332,spaced,0,0,729
rnn,4,step_end_to_end,gpu,16,1,192.446,192.446,every_step,7,6,173
rnn,4,construction,cpu,64,5,8.875,1.775,none,0,0,0
rnn,4,forward_cold,cpu,64,1,28.07,28.07,none,0,0,0
rnn,4,forward_hot,cpu,64,2,56.302998,28.151499,none,0,0,0
rnn,4,backward_cold,cpu,64,1,57.184,57.184,none,0,0,0
rnn,4,backward_hot,cpu,64,2,115.244,57.622,none,0,0,0
rnn,4,step_sgd,cpu,64,2,5.8040004,2.9020002,none,0,0,0
rnn,4,step_adam,cpu,64,2,28.948,14.474,none,0,0,0
rnn,4,loss_read,cpu,64,1,0.024,0.024,every_step,0,0,0
rnn,4,step_resident,cpu,64,2,209.27701,104.638504,spaced,0,0,0
rnn,4,forward_cold,gpu,64,1,49.052002,49.052002,none,0,0,43
rnn,4,forward_hot,gpu,64,2,94.922,47.461,none,0,0,86
rnn,4,backward_cold,gpu,64,1,124.712,124.712,none,0,0,111
rnn,4,backward_hot,gpu,64,2,252.498,126.249,none,0,0,222
rnn,4,step_sgd,gpu,64,2,34.056,17.028,none,0,0,30
rnn,4,step_adam,gpu,64,2,170.01799,85.008995,none,0,0,160
rnn,4,loss_read,gpu,64,1,0.38799998,0.38799998,every_step,0,1,0
rnn,4,step_resident,gpu,64,2,558.813,279.4065,spaced,0,0,486
rnn,4,step_end_to_end,gpu,64,1,232.117,232.117,every_step,7,6,173
rnn,5,construction,cpu,4,5,1.555,0.311,none,0,0,0
rnn,5,forward_cold,cpu,4,1,1.954,1.954,none,0,0,0
rnn,5,forward_hot,cpu,4,3,5.801,1.9336667,none,0,0,0
rnn,5,backward_cold,cpu,4,1,5.43,5.43,none,0,0,0
rnn,5,backward_hot,cpu,4,3,17.014,5.6713333,none,0,0,0
rnn,5,step_sgd,cpu,4,3,1.818,0.606,none,0,0,0
rnn,5,step_adam,cpu,4,3,9.033,3.011,none,0,0,0
rnn,5,loss_read,cpu,4,1,0.005,0.005,every_step,0,0,0
rnn,5,step_resident,cpu,4,3,40.220997,13.406999,spaced,0,0,0
rnn,5,forward_cold,gpu,4,1,29.221,29.221,none,0,0,43
rnn,5,forward_hot,gpu,4,3,77.128,25.709333,none,0,0,129
rnn,5,backward_cold,gpu,4,1,65.374,65.374,none,0,0,111
rnn,5,backward_hot,gpu,4,3,200.77899,66.92633,none,0,0,333
rnn,5,step_sgd,gpu,4,3,32.744,10.914666,none,0,0,50
rnn,5,step_adam,gpu,4,3,162.268,54.089336,none,0,0,240
rnn,5,loss_read,gpu,4,1,0.26500002,0.26500002,every_step,0,1,0
rnn,5,step_resident,gpu,4,3,531.886,177.29533,spaced,0,0,729
rnn,5,step_end_to_end,gpu,4,1,136.226,136.226,every_step,7,6,173
rnn,5,construction,cpu,16,5,4.119,0.82379997,none,0,0,0
rnn,5,forward_cold,cpu,16,1,9.238,9.238,none,0,0,0
rnn,5,forward_hot,cpu,16,3,27.620998,9.207,none,0,0,0
rnn,5,backward_cold,cpu,16,1,21.585001,21.585001,none,0,0,0
rnn,5,backward_hot,cpu,16,3,66.147995,22.049332,none,0,0,0
