agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
10000,0,resume,7,0,10,100,105.396,1.0539601,0,1000000,1000000,0,0,11,5,2
10000,0,event,1,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,event,2,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,event,3,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,4,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,5,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,6,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,event,7,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,1,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,2,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,3,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,4,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,5,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,6,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,7,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,1,root,1,100,10,100,645.353,6.4535303,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,2,100,10,100,600.982,6.00982,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,3,100,10,100,600.516,6.00516,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,4,100,10,100,600.531,6.00531,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,5,100,10,100,599.194,5.9919395,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,6,100,10,100,598.27295,5.9827294,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,7,100,10,100,585.311,5.85311,4000000,1000000,10000000,100,505000,11,5,2
10000,1,resume,1,100,10,100,102.523,1.02523,0,1000000,1000000,100,505000,11,5,2
