agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
1000,100,resume,3,1000,100,1000,87.693,0.087693,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,4,1000,100,1000,87.929,0.087929,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,5,1000,100,1000,87.785995,0.087786,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,6,1000,100,1000,89.411995,0.089412,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,7,1000,100,1000,89.063,0.089063,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,1,1000,100,1000,83.081,0.083081,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,2,1000,100,1000,85.619,0.085619,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,3,1000,100,1000,84.957,0.084957,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,4,1000,100,1000,92.843,0.092843,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,5,1000,100,1000,94.057,0.094057,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,6,1000,100,1000,83.903,0.083903,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,7,1000,100,1000,85.685,0.085685,0,1000000,1000000,1000,500500000,11,5,2
1000,100,state_machine,1,1000,100,1000,8.198,0.008198,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,2,1000,100,1000,8.417,0.008417,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,3,1000,100,1000,8.608999,0.008609,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,4,1000,100,1000,8.315,0.008315,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,5,1000,100,1000,8.867999,0.008868,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,6,1000,100,1000,8.959,0.008959,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,7,1000,100,1000,8.762,0.008762,0,1000000,0,1000,500500000,11,5,2
10000,0,root,1,0,10,100,586.73,5.8673,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,2,0,10,100,658.482,6.58482,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,3,0,10,100,660.17596,6.6017594,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,4,0,10,100,651.80896,6.51809,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,5,0,10,100,642.347,6.42347,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,6,0,10,100,591.519,5.9151897,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,7,0,10,100,618.91003,6.1891003,4000000,1000000,10000000,0,0,11,5,2
10000,0,resume,1,0,10,100,134.446,1.34446,0,1000000,1000000,0,0,11,5,2
10000,0,resume,2,0,10,100,136.617,1.36617,0,1000000,1000000,0,0,11,5,2
10000,0,resume,3,0,10,100,108.096,1.08096,0,1000000,1000000,0,0,11,5,2
10000,0,resume,4,0,10,100,112.717,1.1271701,0,1000000,1000000,0,0,11,5,2
10000,0,resume,5,0,10,100,115.877,1.15877,0,1000000,1000000,0,0,11,5,2
10000,0,resume,6,0,10,100,127.158005,1.2715801,0,1000000,1000000,0,0,11,5,2
10000,0,resume,7,0,10,100,118.690994,1.1869099,0,1000000,1000000,0,0,11,5,2
10000,0,event,1,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,2,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,3,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,event,4,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,5,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,event,6,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,event,7,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,1,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,2,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,3,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,4,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,5,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,0,state_machine,6,0,10,100,0.001,1.0000001e-05,0,0,0,0,0,11,5,2
10000,0,state_machine,7,0,10,100,0.0,0.0,0,0,0,0,0,11,5,2
10000,1,root,1,100,10,100,631.909,6.31909,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,2,100,10,100,682.585,6.82585,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,3,100,10,100,592.065,5.92065,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,4,100,10,100,684.469,6.84469,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,5,100,10,100,658.258,6.58258,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,6,100,10,100,705.109,7.0510902,4000000,1000000,10000000,100,505000,11,5,2
10000,1,root,7,100,10,100,660.025,6.6002502,4000000,1000000,10000000,100,505000,11,5,2
10000,1,resume,1,100,10,100,116.112,1.1611199,0,1000000,1000000,100,505000,11,5,2
10000,1,resume,2,100,10,100,112.722,1.12722,0,1000000,1000000,100,505000,11,5,2
10000,1,resume,3,100,10,100,105.571,1.05571,0,1000000,1000000,100,505000,11,5,2
10000,1,resume,4,100,10,100,109.577995,1.0957799,0,1000000,1000000,100,505000,11,5,2
10000,1,resume,5,100,10,100,100.423996,1.0042399,0,1000000,1000000,100,505000,11,5,2
10000,1,resume,6,100,10,100,107.533,1.07533,0,1000000,1000000,100,505000,11,5,2
10000,1,resume,7,100,10,100,108.772,1.08772,0,1000000,1000000,100,505000,11,5,2
10000,1,event,1,100,10,100,0.484,0.00484,0,10000,10000,100,505000,11,5,2
10000,1,event,2,100,10,100,0.504,0.00504,0,10000,10000,100,505000,11,5,2
10000,1,event,3,100,10,100,0.497,0.00497,0,10000,10000,100,505000,11,5,2
10000,1,event,4,100,10,100,0.527,0.00527,0,10000,10000,100,505000,11,5,2
10000,1,event,5,100,10,100,0.46800002,0.0046800002,0,10000,10000,100,505000,11,5,2
10000,1,event,6,100,10,100,0.46199998,0.00462,0,10000,10000,100,505000,11,5,2
10000,1,event,7,100,10,100,0.48499998,0.0048499997,0,10000,10000,100,505000,11,5,2
10000,1,state_machine,1,100,10,100,0.082,0.00082,0,10000,0,100,505000,11,5,2
10000,1,state_machine,2,100,10,100,0.077999994,0.00077999994,0,10000,0,100,505000,11,5,2
